,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10641,,21452029.977576837,389229068.71292466,30700000.0,399.5543495740959,0.0,0.007135677062905124,0.0010744645193399081
10642,,58700617.161240526,389229068.71292466,30700000.0,1186.3692094879616,0.01419452119963336,0.0,0.0005334154011101699
10643,,206859046.38298658,389229068.71292466,30700000.0,7341.142863454683,0.008168586804074444,0.00024004714653965017,0.06900419841273162
10644,,99422388.33826698,389229068.71292466,30700000.0,3955.7575102489677,0.04607802233286201,0.0,0.0
10645,,292446201.79531384,389229068.71292466,30700000.0,8040.159805553334,0.0653325211570899,0.0,0.02484301498391327
10646,,23338031.61629616,389229068.71292466,30700000.0,931.3177954292331,0.0018401763771519856,0.0036562899220319977,0.00040309798526741935
10647,,12780760.376604848,389229068.71292466,30700000.0,527.526974906222,0.0001882960474923151,0.00035142607134598094,0.005152377646280949
10648,,19494106.066458374,389229068.71292466,30700000.0,771.3994357458166,0.00018554374414075217,0.0033337092907033917,0.0010359078299107844
10649,,33310677.3782354,389229068.71292466,30700000.0,801.3493589717491,0.005092436493223122,0.0,0.004473466039212848
10650,,364847700.04347193,389229068.71292466,30700000.0,11473.146794142247,0.0,0.0005830016443925618,0.11796923484148861
10651,,328580616.06718767,389229068.71292466,30700000.0,7755.207571686056,0.013702040957576201,0.0,0.0677754657154433
10652,,141483384.08195114,389229068.71292466,30700000.0,5610.258163885399,0.06240337233008676,0.0,0.0
10653,,56579018.398143575,389229068.71292466,30700000.0,2060.924449749499,0.00184975848917107,0.008650913111991086,0.0
10654,,148695367.70993853,389229068.71292466,30700000.0,5091.909332477271,0.00018282048959788102,0.0,0.053178392829165415
10655,,75943467.79858613,389229068.71292466,30700000.0,2676.239135742584,0.005184770320872423,0.005806518604254575,0.022752635549394364
10656,,16720838.80120781,389229068.71292466,30700000.0,660.4443329637285,0.0,0.0009104452478695233,0.005749374640854163
